K,Step,rho_g,rho_p,id,p,deltaG,deltaP
3,1,2.04348,2.04348,1986,1986,329,329
3,2,1.69481,1.42208,758,2530,87,73
3,3,3,3,3044,3044,81,81
3,1,2.04348,1.96894,1986,3044,329,317
3,2,1.75301,1.28313,5279,2530,97,71
3,3,2.71579,3,758,1986,86,95
3,1,2.04348,1.96894,1986,3044,329,317
3,2,1.69481,1.67532,758,3044,87,86
3,3,2.91045,2.37313,937,3044,65,53
3,1,2.04348,2.04348,1986,1986,329,329
3,2,1.69481,1.42208,758,2530,87,73
3,3,2.91045,2.37313,937,3044,65,53
4,1,2.42804,2.05166,1986,5279,329,278
4,2,2.06061,2.04545,3044,1986,136,135
4,3,2.10853,2.10853,2530,2530,68,68
4,4,4,4,937,937,61,61
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,2.25714,3044,5279,81,79
4,4,3.86441,3.05085,5996,5279,57,45
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,1.04762,937,5279,65,33
4,4,2.70968,2.75269,2530,937,63,64
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,1.84615,5279,2530,82,66
4,4,3.8961,4,3044,5279,75,77
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,1.8,3044,937,81,63
4,4,3.86441,3.05085,5996,5279,57,45
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,2.34513,3044,5279,298,265
4,3,2.58824,2.69519,7462,1986,121,126
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,1.8,3044,937,81,63
4,4,4,4,5279,5279,77,77
4,1,2.42804,0.664207,1986,2530,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,2.09836,2530,5279,58,32
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.10853,2.10853,2530,937,68,68
4,4,3.54098,4,1126,2530,54,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,2.65487,2.73451,3044,1986,300,309
4,3,2.29371,2.29371,5279,5279,82,82
4,4,4,4,2530,2530,61,61
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,1.04762,937,5279,65,33
4,4,3.80328,2.09836,2530,5279,58,32
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.10853,2.10853,2530,2530,68,68
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,2530,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,1.04762,937,5279,65,33
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,0.664207,1986,2530,329,90
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,1.84615,5279,2530,82,66
4,4,4,4,2530,2530,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.31455,758,937,87,70
4,3,2.06349,2.03175,937,2530,65,64
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.31455,758,937,87,70
4,3,2.06349,1.04762,937,5279,65,33
4,4,2.70968,2.70968,2530,2530,63,63
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,2.25714,3044,5279,81,79
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,0.734513,3044,937,298,83
4,3,2.95935,3.16531,7462,1986,273,292
4,4,3.70833,3.70833,5279,5279,89,89
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,2.29371,5279,5279,82,82
4,4,4,4,2530,2530,61,61
4,1,2.42804,0.664207,1986,2530,329,90
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,1.8,3044,937,81,63
4,4,3.86441,3.86441,5996,937,57,57
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,2.09836,2530,5279,58,32
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,2.29371,5279,5279,82,82
4,4,4,4,2530,2530,61,61
4,1,2.42804,2.05166,1986,5279,329,278
4,2,2.06061,2.04545,3044,1986,136,135
4,3,2.10853,2.10853,2530,2530,68,68
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.03175,937,2530,65,64
4,4,3.74194,3.80645,5996,937,58,59
4,1,2.42804,2.05166,1986,5279,329,278
4,2,2.06061,1.13636,3044,937,136,75
4,3,2.03125,2.03125,6452,937,65,65
4,4,3.61905,3.04762,2530,1986,57,48
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,2.29371,5279,5279,82,82
4,4,4,4,2530,2530,61,61
4,1,2.42804,0.664207,1986,2530,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.03175,937,2530,65,64
4,4,3.74194,3.80645,5996,937,58,59
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,2.76106,3044,1986,298,312
4,3,2.33766,2.33766,5279,5279,90,90
4,4,3.6875,3.125,6452,1986,59,50
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,1.04762,937,5279,65,33
4,4,3.80328,2.09836,2530,5279,58,32
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,2.76106,3044,1986,298,312
4,3,2.33766,2.46753,5279,1986,90,95
4,4,3.6875,3.625,6452,937,59,58
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.10853,2.10853,2530,937,68,68
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,1.04762,937,5279,65,33
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,1.84615,5279,2530,82,66
4,4,4,4,2530,2530,61,61
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,2.25714,3044,5279,81,79
4,4,4,4,937,937,61,61
4,1,2.42804,2.05166,1986,5279,329,278
4,2,2.06061,1.16667,3044,2530,136,77
4,3,2.58824,2.69519,7462,1986,121,126
4,4,3.57576,2.9697,937,1986,59,49
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,2.09836,2530,5279,58,32
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,1.8,3044,937,81,63
4,4,4,4,5279,5279,77,77
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.06349,2.03175,937,2530,65,64
4,4,3.74194,2.06452,5996,5279,58,32
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,2.76106,3044,1986,298,312
4,3,2.25714,1.8,5279,937,79,63
4,4,4,4,937,937,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,2.29371,5279,5279,82,82
4,4,4,4,2530,2530,61,61
4,1,2.42804,0.664207,1986,937,329,90
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,0.664207,1986,2530,329,90
4,2,2.63717,0.734513,3044,937,298,83
4,3,2.33766,1.71429,5279,937,90,66
4,4,3.6875,3.125,6452,1986,59,50
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.31455,758,937,87,70
4,3,2.29371,1.84615,5279,2530,82,66
4,4,4,4,2530,2530,61,61
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.31455,758,937,87,70
4,3,2.06349,2.03175,937,2530,65,64
4,4,3.80328,3.80328,2530,2530,58,58
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.10853,2.10853,2530,2530,68,68
4,4,4,4,937,937,61,61
4,1,2.42804,2.05166,1986,5279,329,278
4,2,1.6338,1.37089,758,2530,87,73
4,3,2.31429,1.8,3044,937,81,63
4,4,3.86441,3.05085,5996,5279,57,45
4,1,2.42804,0.664207,1986,937,329,90
4,2,2.65487,2.73451,3044,1986,300,309
4,3,2.34211,2.34211,5279,5279,89,89
4,4,3.61905,3.61905,2530,2530,57,57
4,1,2.42804,2.05166,1986,5279,329,278
4,2,2.06061,2.04545,3044,1986,136,135
4,3,2.10853,2.10853,2530,937,68,68
4,4,3.54098,4,1126,2530,54,61
4,1,2.42804,2.42804,1986,1986,329,329
4,2,1.6338,1.57746,758,5279,87,84
4,3,2.06349,2.06349,937,937,65,65
4,4,3.80328,2.09836,2530,5279,58,32
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.27737,758,1126,87,70
5,3,2.0098,1.66667,3044,5303,82,68
5,4,2.53676,2.53676,6330,6330,69,69
5,5,5,5,5996,5996,67,67
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.78049,1.70732,3044,6330,73,70
5,4,2.46212,2.34848,1126,5996,65,62
5,5,4.40299,4.25373,5996,6330,59,57
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.81373,1.69118,6880,1126,74,69
5,4,2.53846,2.19231,1126,5303,66,57
5,5,4.10959,4.10959,5996,5996,60,60
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,6330,60,58
5,5,4.53125,4.45312,6452,5303,58,57
5,1,2.72803,0.820896,1986,5996,329,99
5,2,2.82738,1.02183,3044,5303,285,103
5,3,2.00913,1.64384,758,1126,88,72
5,4,2.40458,2.09924,1126,5303,63,55
5,5,3.88158,3.55263,6452,6330,59,54
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,6330,60,58
5,5,4.39394,4.4697,5303,1126,58,59
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.37705,2.29508,2530,5996,58,56
5,5,3.98438,3.4375,5996,5303,51,44
5,1,2.72803,0.862355,1986,5303,329,104
5,2,2.76553,0.981964,3044,5996,276,98
5,3,1.99552,1.63677,5279,1126,89,73
5,4,2.35075,1.75373,6452,1986,63,47
5,5,4.29577,2.60563,1126,1986,61,37
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.27737,758,1126,87,70
5,3,2.0098,1.71569,3044,5996,82,70
5,4,2.5,2.5,6330,6330,67,67
5,5,5,5,5303,5303,67,67
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.60428,937,6330,65,60
5,4,2.37705,2.04918,2530,5303,58,50
5,5,3.88889,3.88889,5996,5996,56,56
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.37705,2.04918,2530,5303,58,50
5,5,3.88889,3.68056,5996,6330,56,53
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.60428,937,6330,65,60
5,4,2.44094,2.28346,1126,5303,62,58
5,5,4.42029,4.42029,5996,5996,61,61
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.44186,2.32558,5996,6330,63,60
5,5,4.42029,4.42029,1126,5996,61,61
5,1,2.72803,0.862355,1986,5303,329,104
5,2,2.76553,0.981964,3044,6330,276,98
5,3,1.99552,1.50224,5279,5996,89,67
5,4,2.5641,2.24359,758,1126,80,70
5,5,3.95349,4.53488,6452,1986,68,78
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.86567,1.69154,3044,5303,75,68
5,4,2.55639,2.55639,6330,6330,68,68
5,5,5,5,1126,1126,65,65
5,1,2.72803,0.820896,1986,5996,329,99
5,2,2.82738,3.00595,3044,1986,285,303
5,3,2.00913,1.64384,758,1126,88,72
5,4,2.40458,2.0229,1126,1986,63,53
5,5,3.52564,3.14103,2530,6330,55,49
5,1,2.72803,0.862355,1986,1126,329,104
5,2,2.88577,2.95591,3044,1986,288,295
5,3,2.03791,1.51659,758,5996,86,64
5,4,2.48,2.16,6452,6330,62,54
5,5,4.08451,3.38028,3283,1986,58,48
5,1,2.72803,0.862355,1986,5303,329,104
5,2,2.76553,1.01202,3044,1126,276,101
5,3,1.99552,1.50224,5279,5996,89,67
5,4,2.5641,2.75641,758,1986,80,86
5,5,4.42857,4,1126,6330,62,56
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,5303,60,58
5,5,4.39394,4.4697,6330,1126,58,59
5,1,2.72803,0.820896,1986,5996,329,99
5,2,2.82738,0.992063,3044,1126,285,100
5,3,2.00913,1.43836,758,5303,88,63
5,4,2.4359,2.24359,5279,1126,76,70
5,5,3.95349,3.77907,6452,6330,68,65
5,1,2.72803,0.862355,1986,5303,329,104
5,2,2.76553,0.981964,3044,5996,276,98
5,3,1.99552,2.04036,5279,1986,89,91
5,4,2.35075,1.75373,6452,1986,63,47
5,5,3.33333,3.21839,2530,1126,58,56
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.60428,937,6330,65,60
5,4,2.44094,2.28346,1126,5303,62,58
5,5,4.42029,4.42029,5996,1126,61,61
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.37705,2.04918,2530,5303,58,50
5,5,3.98438,3.59375,5996,6330,51,46
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.27737,758,1126,87,70
5,3,2.0098,1.66667,3044,5303,82,68
5,4,2.41803,2.2541,5996,5303,59,55
5,5,4.52381,4.36508,6452,6330,57,55
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.37705,2.29508,2530,5996,58,56
5,5,4.01515,3.78788,1126,5303,53,50
5,1,2.72803,0.820896,1986,5996,329,99
5,2,2.82738,1.02183,3044,5303,285,103
5,3,2.00913,2.12329,758,1986,88,93
5,4,2.40458,2.06107,1126,6330,63,54
5,5,3.83117,3.57143,6452,5303,59,55
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.78049,1.7561,3044,5996,73,72
5,4,2.46212,2.19697,1126,6330,65,58
5,5,4.40299,4.25373,5996,6330,59,57
5,1,2.72803,0.862355,1986,1126,329,104
5,2,2.88577,0.961924,3044,6330,288,96
5,3,2.03791,1.58768,758,6330,86,67
5,4,2.56944,2.11806,5279,5303,74,61
5,5,4.09639,3.73494,3283,5996,68,62
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,5303,60,58
5,5,4.53125,4.45312,6452,5303,58,57
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.73797,1.60428,937,6330,65,60
5,4,2.44094,2.28346,1126,5303,62,58
5,5,4.42029,4.42029,5996,5996,61,61
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.37705,2.29508,2530,1126,58,56
5,5,3.98438,3.4375,5996,5303,51,44
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.37705,2.17213,2530,6330,58,53
5,5,3.98551,3.98551,1126,1126,55,55
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,5303,60,58
5,5,4.39394,4.4697,6330,1126,58,59
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.41935,2.37903,5996,6330,60,59
5,5,4.53125,4.45312,6452,5303,58,57
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.86567,1.69154,3044,5303,75,68
5,4,2.55639,2.55639,6330,6330,68,68
5,5,5,5,1126,1126,65,65
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.27737,758,1126,87,70
5,3,2.0098,1.66667,3044,5303,82,68
5,4,2.41803,2.33607,5996,6330,59,57
5,5,4.52381,4.36508,6452,6330,57,55
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.41935,2.33871,1126,6330,60,58
5,5,4.39394,4.4697,5303,1126,58,59
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.73797,1.68449,937,5996,65,63
5,4,2.37705,2.17213,2530,6330,58,53
5,5,3.98438,3.98438,5996,5996,51,51
5,1,2.72803,0.820896,1986,6330,329,99
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.37705,2.29508,2530,1126,58,56
5,5,4.01515,3.93939,5996,6330,53,52
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.86567,1.66667,3044,1126,75,67
5,4,2.5,2.5,6330,5303,67,67
5,5,5,5,5303,5303,67,67
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.37705,2.29508,2530,1126,58,56
5,5,4.01515,3.93939,5996,6330,53,52
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.41935,2.29839,5996,5303,60,57
5,5,4.53125,4.45312,6452,6330,58,57
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.33212,758,5996,87,73
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.41935,2.41935,5996,5996,60,60
5,5,4.53125,4.45312,6452,6330,58,57
5,1,2.72803,2.72803,1986,1986,329,329
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.73797,1.68449,937,1126,65,63
5,4,2.37705,2.29508,2530,5996,58,56
5,5,4.01515,3.86364,1126,6330,53,51
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.81373,1.7402,6880,5996,74,71
5,4,2.53846,2.53846,1126,1126,66,66
5,5,4.45312,4.45312,5996,5996,57,57
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.73797,1.68449,937,1126,65,63
