K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
100,25,10,10.0,2.0,1,0,22,1.0
100,25,10,10.0,2.0,1,0,23,1.0
100,25,10,10.0,2.0,1,0,24,1.0
100,25,10,10.0,2.0,1,0,25,1.0
100,25,10,10.0,2.0,1,1,0,0.78721374
100,25,10,10.0,2.0,1,1,1,1.0
100,25,10,10.0,2.0,1,1,2,0.998091603
100,25,10,10.0,2.0,1,1,3,0.996183206
100,25,10,10.0,2.0,1,1,4,0.994274809
100,25,10,10.0,2.0,1,1,5,0.992366412
100,25,10,10.0,2.0,1,1,6,0.990458015
100,25,10,10.0,2.0,1,1,7,0.988549618
100,25,10,10.0,2.0,1,1,8,0.986641221
100,25,10,10.0,2.0,1,1,9,0.984732824
100,25,10,10.0,2.0,1,1,10,0.982824427
100,25,10,10.0,2.0,1,1,11,0.980916031
100,25,10,10.0,2.0,1,1,12,0.979007634
100,25,10,10.0,2.0,1,1,13,0.977099237
100,25,10,10.0,2.0,1,1,14,0.97519084
100,25,10,10.0,2.0,1,1,15,0.973282443
100,25,10,10.0,2.0,1,1,16,0.971374046
100,25,10,10.0,2.0,1,1,17,0.969465649
100,25,10,10.0,2.0,1,1,18,0.967557252
100,25,10,10.0,2.0,1,1,19,0.965648855
100,25,10,10.0,2.0,1,1,20,0.963740458
100,25,10,10.0,2.0,1,1,21,0.961832061
100,25,10,10.0,2.0,1,1,22,0.959923664
100,25,10,10.0,2.0,1,1,23,0.958015267
100,25,10,10.0,2.0,1,1,24,0.95610687
100,25,10,10.0,2.0,1,1,25,0.954198473
