K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
60,15,0,10.0,2.0,1,1,13,0.961783439
60,15,0,10.0,2.0,1,1,14,0.958598726
60,15,0,10.0,2.0,1,1,15,0.955414013
70,17,0,10.0,2.0,1,0,0,0.791725215
70,17,0,10.0,2.0,1,0,1,1.0
70,17,0,10.0,2.0,1,0,2,1.0
70,17,0,10.0,2.0,1,0,3,1.0
70,17,0,10.0,2.0,1,0,4,1.0
70,17,0,10.0,2.0,1,0,5,1.0
70,17,0,10.0,2.0,1,0,6,1.0
70,17,0,10.0,2.0,1,0,7,1.0
70,17,0,10.0,2.0,1,0,8,1.0
70,17,0,10.0,2.0,1,0,9,1.0
70,17,0,10.0,2.0,1,0,10,1.0
70,17,0,10.0,2.0,1,0,11,1.0
70,17,0,10.0,2.0,1,0,12,1.0
70,17,0,10.0,2.0,1,0,13,1.0
70,17,0,10.0,2.0,1,0,14,1.0
70,17,0,10.0,2.0,1,0,15,1.0
70,17,0,10.0,2.0,1,0,16,1.0
70,17,0,10.0,2.0,1,0,17,1.0
70,17,0,10.0,2.0,1,1,0,0.791725215
70,17,0,10.0,2.0,1,1,1,1.0
70,17,0,10.0,2.0,1,1,2,0.99726776
70,17,0,10.0,2.0,1,1,3,0.994535519
70,17,0,10.0,2.0,1,1,4,0.991803279
70,17,0,10.0,2.0,1,1,5,0.989071038
70,17,0,10.0,2.0,1,1,6,0.986338798
70,17,0,10.0,2.0,1,1,7,0.983606557
70,17,0,10.0,2.0,1,1,8,0.980874317
70,17,0,10.0,2.0,1,1,9,0.978142077
70,17,0,10.0,2.0,1,1,10,0.975409836
70,17,0,10.0,2.0,1,1,11,0.972677596
70,17,0,10.0,2.0,1,1,12,0.969945355
70,17,0,10.0,2.0,1,1,13,0.967213115
70,17,0,10.0,2.0,1,1,14,0.964480874
70,17,0,10.0,2.0,1,1,15,0.961748634
70,17,0,10.0,2.0,1,1,16,0.959016393
70,17,0,10.0,2.0,1,1,17,0.956284153
80,20,0,10.0,2.0,1,0,0,0.787589499
80,20,0,10.0,2.0,1,0,1,1.0
80,20,0,10.0,2.0,1,0,2,1.0
80,20,0,10.0,2.0,1,0,3,1.0
80,20,0,10.0,2.0,1,0,4,1.0
80,20,0,10.0,2.0,1,0,5,1.0
80,20,0,10.0,2.0,1,0,6,1.0
80,20,0,10.0,2.0,1,0,7,1.0
80,20,0,10.0,2.0,1,0,8,1.0
80,20,0,10.0,2.0,1,0,9,1.0
80,20,0,10.0,2.0,1,0,10,1.0
80,20,0,10.0,2.0,1,0,11,1.0
80,20,0,10.0,2.0,1,0,12,1.0
80,20,0,10.0,2.0,1,0,13,1.0
80,20,0,10.0,2.0,1,0,14,1.0
80,20,0,10.0,2.0,1,0,15,1.0
80,20,0,10.0,2.0,1,0,16,1.0
80,20,0,10.0,2.0,1,0,17,1.0
80,20,0,10.0,2.0,1,0,18,1.0
80,20,0,10.0,2.0,1,0,19,1.0
80,20,0,10.0,2.0,1,0,20,1.0
80,20,0,10.0,2.0,1,1,0,0.787589499
80,20,0,10.0,2.0,1,1,1,1.0
80,20,0,10.0,2.0,1,1,2,0.997613365
80,20,0,10.0,2.0,1,1,3,0.99522673
80,20,0,10.0,2.0,1,1,4,0.992840095
80,20,0,10.0,2.0,1,1,5,0.990453461
80,20,0,10.0,2.0,1,1,6,0.988066826
80,20,0,10.0,2.0,1,1,7,0.985680191
80,20,0,10.0,2.0,1,1,8,0.983293556
80,20,0,10.0,2.0,1,1,9,0.980906921
80,20,0,10.0,2.0,1,1,10,0.978520286
80,20,0,10.0,2.0,1,1,11,0.976133652
80,20,0,10.0,2.0,1,1,12,0.973747017
80,20,0,10.0,2.0,1,1,13,0.971360382
80,20,0,10.0,2.0,1,1,14,0.968973747
80,20,0,10.0,2.0,1,1,15,0.966587112
80,20,0,10.0,2.0,1,1,16,0.964200477
80,20,0,10.0,2.0,1,1,17,0.961813842
80,20,0,10.0,2.0,1,1,18,0.959427208
80,20,0,10.0,2.0,1,1,19,0.957040573
80,20,0,10.0,2.0,1,1,20,0.954653938
90,22,0,10.0,2.0,1,0,0,0.790375088
90,22,0,10.0,2.0,1,0,1,1.0
90,22,0,10.0,2.0,1,0,2,1.0
90,22,0,10.0,2.0,1,0,3,1.0
90,22,0,10.0,2.0,1,0,4,1.0
90,22,0,10.0,2.0,1,0,5,1.0
90,22,0,10.0,2.0,1,0,6,1.0
90,22,0,10.0,2.0,1,0,7,1.0
90,22,0,10.0,2.0,1,0,8,1.0
90,22,0,10.0,2.0,1,0,9,1.0
90,22,0,10.0,2.0,1,0,10,1.0
90,22,0,10.0,2.0,1,0,11,1.0
90,22,0,10.0,2.0,1,0,12,1.0
90,22,0,10.0,2.0,1,0,13,1.0
90,22,0,10.0,2.0,1,0,14,1.0
90,22,0,10.0,2.0,1,0,15,1.0
90,22,0,10.0,2.0,1,0,16,1.0
90,22,0,10.0,2.0,1,0,17,1.0
90,22,0,10.0,2.0,1,0,18,1.0
90,22,0,10.0,2.0,1,0,19,1.0
90,22,0,10.0,2.0,1,0,20,1.0
90,22,0,10.0,2.0,1,0,21,1.0
90,22,0,10.0,2.0,1,0,22,1.0
90,22,0,10.0,2.0,1,1,0,0.790375088
90,22,0,10.0,2.0,1,1,1,1.0
90,22,0,10.0,2.0,1,1,2,0.997876858
90,22,0,10.0,2.0,1,1,3,0.995753715
90,22,0,10.0,2.0,1,1,4,0.993630573
90,22,0,10.0,2.0,1,1,5,0.991507431
90,22,0,10.0,2.0,1,1,6,0.989384289
90,22,0,10.0,2.0,1,1,7,0.987261146
90,22,0,10.0,2.0,1,1,8,0.985138004
90,22,0,10.0,2.0,1,1,9,0.983014862
90,22,0,10.0,2.0,1,1,10,0.98089172
90,22,0,10.0,2.0,1,1,11,0.978768577
90,22,0,10.0,2.0,1,1,12,0.976645435
90,22,0,10.0,2.0,1,1,13,0.974522293
90,22,0,10.0,2.0,1,1,14,0.972399151
90,22,0,10.0,2.0,1,1,15,0.970276008
90,22,0,10.0,2.0,1,1,16,0.968152866
90,22,0,10.0,2.0,1,1,17,0.966029724
90,22,0,10.0,2.0,1,1,18,0.963906582
90,22,0,10.0,2.0,1,1,19,0.961783439
90,22,0,10.0,2.0,1,1,20,0.959660297
90,22,0,10.0,2.0,1,1,21,0.957537155
90,22,0,10.0,2.0,1,1,22,0.955414013
100,25,0,10.0,2.0,1,0,0,0.78721374
100,25,0,10.0,2.0,1,0,1,1.0
100,25,0,10.0,2.0,1,0,2,1.0
100,25,0,10.0,2.0,1,0,3,1.0
100,25,0,10.0,2.0,1,0,4,1.0
100,25,0,10.0,2.0,1,0,5,1.0
100,25,0,10.0,2.0,1,0,6,1.0
100,25,0,10.0,2.0,1,0,7,1.0
100,25,0,10.0,2.0,1,0,8,1.0
100,25,0,10.0,2.0,1,0,9,1.0
100,25,0,10.0,2.0,1,0,10,1.0
100,25,0,10.0,2.0,1,0,11,1.0
100,25,0,10.0,2.0,1,0,12,1.0
100,25,0,10.0,2.0,1,0,13,1.0
100,25,0,10.0,2.0,1,0,14,1.0
100,25,0,10.0,2.0,1,0,15,1.0
100,25,0,10.0,2.0,1,0,16,1.0
100,25,0,10.0,2.0,1,0,17,1.0
100,25,0,10.0,2.0,1,0,18,1.0
100,25,0,10.0,2.0,1,0,19,1.0
100,25,0,10.0,2.0,1,0,20,1.0
100,25,0,10.0,2.0,1,0,21,1.0
100,25,0,10.0,2.0,1,0,22,1.0
100,25,0,10.0,2.0,1,0,23,1.0
100,25,0,10.0,2.0,1,0,24,1.0
100,25,0,10.0,2.0,1,0,25,1.0
100,25,0,10.0,2.0,1,1,0,0.78721374
100,25,0,10.0,2.0,1,1,1,1.0
100,25,0,10.0,2.0,1,1,2,0.998091603
100,25,0,10.0,2.0,1,1,3,0.996183206
100,25,0,10.0,2.0,1,1,4,0.994274809
100,25,0,10.0,2.0,1,1,5,0.992366412
100,25,0,10.0,2.0,1,1,6,0.990458015
100,25,0,10.0,2.0,1,1,7,0.988549618
100,25,0,10.0,2.0,1,1,8,0.986641221
100,25,0,10.0,2.0,1,1,9,0.984732824
100,25,0,10.0,2.0,1,1,10,0.982824427
100,25,0,10.0,2.0,1,1,11,0.980916031
100,25,0,10.0,2.0,1,1,12,0.979007634
100,25,0,10.0,2.0,1,1,13,0.977099237
100,25,0,10.0,2.0,1,1,14,0.97519084
100,25,0,10.0,2.0,1,1,15,0.973282443
100,25,0,10.0,2.0,1,1,16,0.971374046
100,25,0,10.0,2.0,1,1,17,0.969465649
100,25,0,10.0,2.0,1,1,18,0.967557252
100,25,0,10.0,2.0,1,1,19,0.965648855
100,25,0,10.0,2.0,1,1,20,0.963740458
100,25,0,10.0,2.0,1,1,21,0.961832061
100,25,0,10.0,2.0,1,1,22,0.959923664
